id,name,contents,homepage,address,tel,hour,coordinate
10.0,경북대학교 가로수길(백양로),"	""경북대 플라타너스 가로수길에서 데이트하기
‣ 오래된 플라타너스가 울창하게 터널을 이룬 낭만적인 산책길
‣ 경북대학교 제1과학관과 농구장 사이, 약 220m 길이의 백양로는 드라마 사랑비에서 두 주인공이 우산을 쓰고 걷던 길이다. 하늘을 가릴 만큼 울창한 플라타너스 나무가 호젓하게 길을 터준다 ""	",http://www.knu.ac.kr,대구광역시 북구 대학로 80 ,053-950-6078,이용시간|제한 없음,"[35.8888003, 128.6102815]"
11.0,경북대학교 박물관,"	국립 경북대학교 박물관은 1959년 개관하여 선사시대부터 최근의 민속자료에 이르기까지 약 7,000여 점의 수집품과 40,000여 점의 발굴유물이 있으며, 이 가운데 국가지정문화재인 보물 7점을 전시하고 있다. 각 전시실에는 신석기 시대의 빗살무늬토기와 돌도끼를 비롯하여 조선시대의 자기류, 회화류, 서적류, 그리고 교사자료에 이르기까지 다양한 유물들이 시대순으로 진열되어 있다. 최근에는 문화유적답사, 특별전시회 등 사회교육과 전시 기능도 강화함으로써 지역사회 주민들이 우리 역사와 문화의 고급 정보를 얻고 각 시대의 삶과 경험을 이해하며 다른 문화와 관습에 대해 폭 넓은 사고를 하는데 기여하고자 노력하고 있다.	",http://museum.knu.ac.kr/,대구광역시 북구 대학로 80,053-950-6537,"이용시간|AM 10:00 ~ PM 05:00 휴관일 : 토요일, 일요일, 공휴일","[35.8888003, 128.6102815]"
12.0,경상감영공원,"	""도심 한복판 숲과 정원을 거닐며 역사공부
‣ 조선 선조 34년(1601) 경상감영이 있던 곳. 1970년 대구시가 중앙공원으로 개장
‣ 대구의 중심부에 위치한 도심 속 정원이다. 하늘을 가릴 만큼 키 높은 나무와 꽃밭, 잔디광장, 구불구불 이어지는 산책로를 걸으며 피로와 스트레스를 해소하기 좋은 장소
‣ 경상도 관찰사의 집무실인 선화당(유형문화재 제1호)과 처소로 사용한 징청각(유형문화재 제2호)등 문화유산을 둘러보며 역사공부도 할 수 있다 ""	",,대구광역시 중구 경상감영길 99,053-254-9404,이용시간|제한없음,"[35.8722155, 128.5922224]"
13.0,계명대학교 행소 박물관,	1978년 5월 대명동 캠퍼스에서 개관하여 다양한 유적의 발굴조사와 학술대회를 개최하고 있는 곳이다. 특히 고령·성주지역의 가야시대 고분군의 발굴조사와 김천·경주 등에서 신석기시대부터 삼국시대에 이르기까지의 다양한 유적을 조사함으로써 이 지역 고대역사의 체계화와 문화 복원에 중요한 역할을 수행하고 있다. 또한 매실방에 소속되어 있는 야외의 넓은 매실농장은 교육의 장소로 사용되고 있다.	,http://www.hengsomuseum.com/,대구광역시 달서구 달구벌대로 1095,053-580-6992~3,"이용시간|AM 10:00 ~ PM 05:00 (PM 04:30까지 입장가능) 휴관일 : 일요일, 국정공휴일, 개교기념일(5월 20일)","[35.8550148, 128.4850295]"
14.0,계산성당,"	""이국적인 성당을 거닐며 100년의 역사를 돌아보는 여행
‣ 경상도에서 가장 오래된 성당으로 가톨릭뿐 아니라 대구의 역사도 볼 수 있다.
‣ 고딕양식의 외관과 스테인드글라스를 통해 들어오는 빛의 알록달록함에 매료되는
아름다운 공간이 인상적이다""	",http://www.kyesan.org,대구광역시 중구 서성로 10,053-254-2300,이용시간|제한 없음,"[35.8677053, 128.5879943]"
,,,,,,,
16.0,고산골 공룡공원,"
주말이면 어린이 동반 가족 방문객들이 즐겨 찾는 곳, 바로 고산골공룡공원이다. 
화산폭발로 만들어진 앞산답게 앞산 구석구석 중생대 백악기의 흔적을 찾아볼 수 있는데 
그 중 하나가 공룡발자국이다. 고산골공룡공원에서는 실제 크기의 움직이는 공룡 조형물, 
화석 발굴 모래놀이 시설과 더불어 공룡해설사를 통해 공룡에 대해 배우고 체험할 수 있
으며 메타세쿼이아, 은행나무, 고사리 등 중생대부터 살아온 식물들도 볼 수 있어 어린이
들의 자연생태학습장과 가족 단위 나들이명소로 각광받고 있다.   
",http://nam.daegu.kr/tour/,대구광역시 남구 용두2길 43   ,053-664-2783,이용시간|연중무휴(상시개방),"[35.8300041, 128.6034426]"
,,,,,,,
18.0,관덕정 순교 기념관,"	관덕정(觀德亭)은 조선시대에 무과 과거의 하나인 도시(都試)를 행하던 도시청(都試廳)이었고, 관덕정 앞으로는 과거를 보던 일종의 연병장이 있었다. 연병장 근처에 중죄인들을 공개 처형하던 처형장이 있었는데 동학의 창시자 최제우가 처형된 곳도 바로 이 곳이다. 을해박해(1815년), 정해박해(1827년), 기해박해(1839년), 병인박해(1866년) 때 천주교인 25명이 이곳에서 처형되었으며, 대구의 경상감영 옥사에서 순교한 이들도 31명에 이른다고 한다. 관덕정순교기념관은 한국 천주교 전래 200주년을 기념하여 천주교 대구대교구의 성지 개발 사업으로 건립된 것으로, 처형터로 고증된 땅 512.40㎡를 확보한 후 1985년부터 1990년까지의 공사기간을 거쳐 순교기념관 건립하였고, 1991년 5월 개관식을 가졌다. 지하 1층·지상 3층의 한옥 누각 형식 건물이다.	",http://www.daegusaint.org/,대구광역시 중구 관덕정길 11,053-254-0151∼2,이용시간|AM 09:30 ~ PM 06:00,"[35.8651527, 128.5911345]"
19.0,구암 팜스테이 농촌체험 마을,"	""구암팜스테이 마을은 기존의 농가민박과는 달리 농가에서 숙박을 하면서 영농, 농촌문화 체험과 인근지역 명승지 관광, 지역축제까지 참여하는 농촌문화관광이 결합된 일석삼조형 농촌체험 마을입니다.
[계절별 수확체험]
딸기, 매실따기, 감자캐기, 방울토마토따기, 사과따기, 밤줍기, 고구마캐기, 단감따기
[식체험]
인절미, 두부, 칼국수, 수제비, 송편, 김치, 화덕피자, 엿 만들기
쨈,효소,양갱만들기,  전통 한과 만들기
[생태체험]
야생화, 고추모종, 모심기, 미꾸라지 잡기, 농수서 생태체험, 구암논길,꽃길 걷기
[놀이체험]
트랙터타기, 팽이줄염색&팽이치기, 물총쏘기, 활쏘기
[공예체험]
천연염색, 비누만들기, 압화열쇠고리, 한지공예, 솔방울 가습기, 동판공예, 목공예
""	",http://www.gooam.com,대구 동구 구암길 38(미대동 555-4번지),053-984-5273,이용시간|,"[35.952814, 128.6768251]"
20.0,구암 팜스테이 체험장,"	""대구 동구 미대동 팔공산 자락에 있는 구암팜스테이 체험장은 학생들의 농촌체험, 외국인 농촌체험 등 다양한 체험을 통한 체험교육의 재미와 우리 농촌 문화 이해를 돕기위한 전통적인 농촌체험 등 다양한 프로그램이 마련되어 있다.
[계절별 농촌체험]
봄 - 야생화, 허브, 모종심기, 고추모종심기, 방울토마토따기, 밭갈기, 씨앗뿌리기
여름 - 방울토마토따기, 미꾸라지 잡기, 감자캐기
가을 - 고무가캐서구워먹기, 미꾸라지,메뚜기잡기, 콩사리, 사과,단감,자두따기,  콜라비,당근 수확체험
겨울 - 고구마, 감자, 밤, 은행 장작불에 구워먹기, 추억의 국화빵 굽기
[연중상시 농촌전통음식만들기체험]
두부, 칼국수, 인절미, 송편, 수제비, 김치, 장터국밥, 부침개 만들어 먹어보기 체험
[연중상시 일반체험]
천연염색비누체험장, 곤충학습체험장, 나무공예체험장, 집풀공예체험장
[청소년수련활동]
전통혼례체험, 트랙터타기, 예절체험, 무료전통체험
""	",http://www.gooam.kr/,대구광역시 동구 미대동 478-3,053-985-5274,이용시간|,"[35.95363710000001, 128.6796577]"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
25.0,국립대구박물관,"	""대구와 경북 지역 문화유산을 보고 체험하는 알찬 공간
‣ 박물관 실내의 고대문화실, 중세문화실, 섬유복식실, 기획전시실과 야외의 유물 전시장, 유적공원, 토기가마전시장 등을 돌아보며 대구․경북 지역의 문화유산을 관람
‣ 암각화 찍어보기, 탁본하기, 문화재 조각 맞추기 등 다양한 체험 프로그램을 운영""	",http://daegu.museum.go.kr,대구광역시 수성구 청호로 321,053-768-6051~2,"이용시간|주중 09:00~18:00, 토?일?공휴일 09:00~19:00 ,4~10월 매주 토요일 09:00~21:00,매월 마지막 주 수요일 09:00~21:00 ","[35.8460881, 128.6385098]"
,,,,,,,
27.0,국제선센터,"	자연과 어우러진 고즈넉한 산사에서 다도, 명상 등 템플스테이를 통해 자신을 되돌아보는 자아성찰의 시간을 가질 수 있다. 	",http://www.dhtemple.org,대구광역시 동구 동화사1길 (도학동),053-982-0223,이용시간|,"[35.9913423, 128.7043837]"
28.0,국채보상운동기념공원,"	""대구에서 처음 시작된 국채보상운동의 정신이 깃든 도심 속 쉼터
‣ 총면적 42,509㎡에 잔디광장과 녹지 공간, 오솔길, 분수, 정자 등을 갖추고 있다. 곳곳에 벤치와 휴식 공간이 많아 시민은 물론 여행객들도 많이 찾는다
‣ 달구벌 대종과 독립지사 흉상, 국채보상운동 여성기념비 등이 있고, 공원 한 쪽에 국채보상운동 기념관도 자리해 있다   ""	",http://www.gukchae.com/, 대구광역시 중구 국채보상로 670,053-254-9401,"공원면적|42,509m2","[35.8689974, 128.6017305]"
29.0,귀금속거리,"	1970년 교동시장을 중심으로 한 시계 매장들로부터 시작되다. 1980년에 이르러 귀금속 골목으로서 면모를 갖추기 시작해서 각종 경기대회 및 기능 대회의 수상을 수십 차례에 입상, 99년에는 무역의 날 100만불 수출탑에 선정되어 대통령상을 받기도 했다. 각종 공예품 경진대회 및 공예대전에 다수 입상대구 산업디자인전에도 입상하는 등 대외적으로 매우 활발한 활동을 벌이며, 그 명성을 인정받고 있다.	",http://www.dgj.co.kr/,대구광역시 중구 교동길 35-4,053-424-9150,판매품목|보석,"[35.8735443, 128.5967084]"
30.0,금호강 자연생태공원,	시멘트와 돌로 다듬은 강변과는 다르게 옛 시골 정취를 고스란히 간직하고 있는 자연친화적인 생태공원이다. 생태계를 파괴하지 않고도 수변공원을 개발할 수 있다는 것을 보여준 대표적인 사례로 꼽히고 있다.	,"http://www.dong.daegu.kr/main/page.htm?cmd=view&mnu_uid=275&tcg_uid=21&tcg_uids=24,25,26,27,28&tsp_uid=&ttf_timeHH=&ttf_timeMM=&srchColumn=&srchKeywor",대구광역시 동구 금호강 일대,053-662-3141,이용시간|제한없음,"[35.8572725, 128.6872703]"
31.0,김광석 다시 그리기 길,"""김광석의 음악 인생이 녹아있는 골목에서 벽화 감상하기
‣ 방천시장 뒷골목, 350m 이어진 골목 담벼락에 김광석의 삶과 노래를 주제로 한 벽화가 실감나게 펼쳐진다
‣ 드라마 ""하이드 지킬, 나""에 등장했던 장면을 따라 벽화 앞에서 기념사진 남기기, 추억의 뽑기 체험 등을 할 수 있다. 골목 가득 울려 퍼지는 김광석의 음악이 운치를 더한다 ""	",https://store.naver.com/attractions/detail?entry=plt&id=33800325&query=%EA%B9%80%EA%B4%91%EC%84%9D%EB%8B%A4%EC%8B%9C%EA%B7%B8%EB%A6%AC%EA%B8%B0%EA%B8%,대구광역시 중구 달구벌대로 2238,053-218-1053,이용시간|제한 없음,"[35.8617991, 128.6077072]"
,,,,,,,
33.0,낙동강 승전기념관,"	일명 승공관이라고 하는 낙동강 승전기념관은 1979. 6. 25 준공 및 개관하였다. 6. 25당시 마지막 저지선이었던 낙동강전적지를 기념하고, 참전용사들의 거룩한 얼을 기리기 위해 세웠다.	",http://www.nakdongwar.or.kr,대구광역시 남구 앞산공원로 574-110,053-621-9880~1,이용시간|AM 10:00 ~ PM 05:00(연중무휴),"[35.82, 128.579]"
,,,,,,,
35.0,남지장사,"	""남지장사는 통일신라 신문왕 4년(684)에 양개조사가 세운 절이라고 전한다. 조선시대에 고승 무학대사가 수도한 곳이기도 하며, 사명대사가 임진왜란 때 승병들의 훈련장으로 사용하기도 하였다. 그 뒤 임진왜란 때 불탔던 것을 효종 4년(1653) 인혜대사가 청련암과 함께 다시 세웠으나, 순조 6년(1806)에 또 화재가 발생하여 2년 뒤 다시 세웠다고 한다. 청련암은 법당과 생활공간의 기능을 겸한 건물로, 앞면 3칸·옆면 2칸 규모이다. 그러나 실제로 법당의 기능보다 강당의 기능을 가진 건물로 ‘인법당’으로도 부르고 있다. 남지장사 청련암은 부분적으로 옛 건축수법을 간직하고 있는 소박한 구조의 건물이다. 부속암자인 청련암은 대구시 유형문화재 제34호로 지정되어 보존되고 있다. <좀 더 알아보기> 남지장사는 신라 신문왕(神文王) 4년 684(684) 양개조사(良介祖師)가 창건한 사찰로 조선시대의 고승 무학대사가 수도한 곳이며 임진왜란때에는 사명대사가 승병들의 훈련장으로 사용하였으나 그...중략",,대구광역시 달성군 가창면 남지장사길 127,053-614-6637,이용시간|AM 10:00 ~ PM 05:00,"[35.735059, 128.6308402]"
,,,,,,,
37.0,녹동서원,"	""
조선으로 귀화한 일본 장수 김충선을 기리는 서원
‣ 임진왜란 때 귀화한 모하당 김충선을 추모하기 위해 1789년에 건립
‣ 경내에는 녹동사, 향양문, 유적비, 서원 뒤쪽 삼정산에는 김충선의 묘소가 있다
‣ 달성한일우호관, 김충선의 귀화 후 활약상을 보여주는 역사관, 체험실 등이 있다
""	",http://www.dskjfriend.kr,대구광역시 달성군 가창면 우록길 218,053-767-5790,"이용시간|하절기(3~9월) 10:00~18:00,동절기(10~2월) 10:00~17:00","[35.7232035, 128.6463461]"
38.0,녹동서원 충절관,"	녹동서원의 좌측에 위한 충절관은 김충선의 후손과 그를 추모하는 일본인, 그리고 대구시의 후원금으로 건립하여 임진왜란 때 사용되었던 조총을 비롯하여 모하당선생의 유품. 유물과 한.일 양국의 역사. 문화. 임진란 관계 전문서적 등을 전시하고 있다. 한.일간의 교류협력의 장으로 활용코자 1998년 6월에 개관하였다.	",,대구광역시 달성군 가창면 우록길 218,053-767-5790,이용시간|AM 10:00 ~ PM 06:00,"[35.7232035, 128.6463461]"
39.0,단산지,"	"" 고즈넉한 수변 길 산책과 함께 수상 레포츠 즐기기
‣ 남녀노소 누구나 걸을 수 있는 평탄한 산책길. 호수에는 수상 레포츠 체험시설이 마련되어 있다. 수상 레포츠 시설 이용 시 비용 발생
‣ 3.5km 길이의 저수지 둘레 길에 울창한 나무가 가득해 숲속을 걷는 듯하다. 전망 벤치에 앉아 호젓하게 풍경을 감상하기 좋다. 무궁화동산에 오르면 단산지 일대 풍경이 시원하게 펼쳐진다
""	",,대구광역시 동구 팔공로 50길 66,053-662-2617,장애인 편의시설|,"[35.9218601, 128.6498312]"
40.0,달성공원,"	"" 역사의 흔적을 품은 공원, 대구에서 가장 오래된 도심 공원
‣ 사적 제 62호로 지정. 공원 안에 옛 토성과 지방문화재 자료 제3호인 관풍루가 자리
‣ 사슴과 타조, 물개, 호랑이 등을 관람할 수 있는 동물사가 있어 가족여행객에게 인기.
곳곳에 벤치와 휴식 공간이 많으며 공원 둘레는 한 바퀴 도는 오솔길이 조성되어 있어 천천히 산책하며 쉬어가기 좋다
""	",,대구광역시 중구 달성공원로 35,053-803-7350,휴일|연중무휴,"[35.8736642, 128.5777306]"
41.0,달성습지,"	"" 낙동강과 금호강이 합류하는 천혜의 자연습지
‣ 달성습지는 범람형 하천습지로 사계절 아름다운 들꽃과 겨울철새 도래지로 유명
‣ 맹꽁이, 구렁이, 수달, 수리부엉이, 검독수리 등 멸종위기종만 십여 종이 서식
‣ 2018년 완공예정인 달성습지 생태학교는 맹꽁이 생태교실, 두꺼비 생태교실, 달성습지
생태교실을 예약제로 운영중이며 생태교육관과 전시관, 탐방나루터가 조성될 예정임
""	",http://www.riverguide.go.kr ,대구광역시 달성군 다사읍 죽곡리,053-592-8852 (달성습지 관리사무소),장애인 편의시설|,"[35.8500337, 128.4642154]"
42.0,대구 근대골목,"	""대구 근대문화의 발자취를 따라 떠나는 신나는 골목 투어
‣ ‘대구 중구 근대로의 여행’ 골목투어 중 2코스에 해당. 총 1.64km, 약 2시간 소요
‣ 청라언덕에서 시작해 선교사 주택과 3.1만세운동길, 계산성당, 이상화와 서상돈고택 한의약박물관, 진골목 등을 두루 살피는 도심 걷기 여행 코스
‣ 매주 토요일 10:00, 14:00 두 차례씩 무료 정기 해설 제공  ""	",http://www.jung.daegu.kr/new/culture/pages/main/,대구광역시 중구 일대,053-661-2624,이용시간|제한 없음,"[35.8693527, 128.6061666]"
43.0,대구 약령시 관광기념품 전시판매장,"	대구약령시(한의약문화관 남측)에 위치한 관광기념품 전시판매장으로 대구지역을 대표하는 공예품, 약령시 한방제품 등의 관광기념품 및 특산품을 구입할 수 있으며, 해당건물 3층에는 도자기, 한지공예등의 공예체험장이 마련되어 있다.	",http://www.dkhand.or.kr/,대구광역시 중구 달구벌대로 415길 49,053-255-2233,"판매품목|목공예품, 도자기공예품, 홍삼제품, 한지공예품, 섬유제품 등","[35.868535, 128.5899305]"
44.0,대구 제일교회 기독교 역사관,"	경북지방에 처음 생긴 기독교회로, 선교사들이 이 지방을 개화시키기 위해 근대적 의료 및 교육을 전개했던 곳이다. 1933년 신도들의 헌금과 중앙교회의 성금으로 교회당을 새로 짓고 제일교회로 이름을 바꾸었다. 현재 이 건물의 전체적인 양식은 평면이 남북으로 긴 직사각형이고, 앞면 중앙에 현관을 두고 오른쪽에는 종탑을 세운 고딕양식의 건물이다. 1층은 사무실·유치원·청소년 예배실로 사용하고, 2층은 전체를 예배실로 사용하고 있다. 대구 제일교회는 대구의 수많은 교회 건물 중 가장 오랜 역사를 가졌고, 근대 건축사 연구에 귀중한 자료가 되고 있다. ※ 현 제일교회 남성로선교관	",,대구광역시 중구 남성로 23,053-253-2615~7,이용시간|AM 09:00 ~ PM 06:00,"[35.8691077, 128.5880024]"
45.0,대구공항 면세점,"1983년 대구공항 면세점이 창립하였으며, 21C 패션의 메카인 대구의 국제공항을 방문하는 내외국인 관광객에게 최고의 명품과 최상의 서비스를 제공하고 있다.	",http://www.granddfs.com,대구광역시 동구 공항로 221,,판매품목|면세품,"[35.89941940000001, 128.638395]"
,,,,,,,
,,,,,,,
48.0,대구그랜드호텔 면세점,"	대구지역 최초 시내면세점인 그랜드호텔 면세점이 2013년 10월부터 운영되고 있다. 대구 수성구 범어동 그랜드호텔 별관 4층 건물에 1천392㎡ 규모로 들어서있다. 1~2층은 해외명품관, 3층은 해외 및 국내브랜드관으로 중국인 관광객이 선호하는 브랜드 제품을 모았으며, 4층은 케이크와 음료를 마시며 쉴 수 있는 카페테리아로 구성됐다. 화장품·가방·시계·액세서리·안경류·담배·주류·인삼류 등 다양한 품목이 판매되고 있으며, 2014년 9월 인터넷쇼핑몰도 오픈했다.	",www.granddfs.com,대구 수성구 동대구로 305(범어동),1800-1160,판매품목|면세품,"[35.8577321, 128.6251586]"
49.0,대구근대역사관,"	""타임머신 없이 떠나는 대구 근대 시간 여행
‣ 1932년 건립된 조선식산은행 대구지점 건물을 활용한 근대문화유산. 르네상스 양식을 본뜬 건축물로 보존 상태가 양호하다. 2003년 대구시유형문화재 제 49호로 지정
‣ 1층 상설전시실과 2층 기획전시실로 구성. 근대 유물과 자료를 비롯해 조선식산은행 대구지점 금고와 우리나라 최초의 시내버스인 부영 버스 영상 체험이 눈길을 끈다
‣ 안내데스크에 요청 시 해설도 가능. 외국인 경우 디바이스(영어, 일본어, 중국어) 무료 대여  ""	",http://artcenter.daegu.go.kr/dmhm/,대구광역시 중구 경상감영길 67,053-606-6431,"이용시간|하절기(4~10월) 09:00~19:00, 동절기(11~3월)  및 토, 일, 공휴일 09:00~18:00 *관람 종료 30분 전까지 입장 가능 1월 1일, 설날·추석, ","[35.8717871, 128.5911694]"
,,,,,,,
51.0,대구도동 측백나무숲,"	불로동에서 동쪽으로 2km쯤 가면 길 오른쪽에 내를 낀 향산이 나타난다. 이 산의 북쪽으로 비탈의 높이가 100여m에 길이 60여m의 낭떠러지를 온통 덮고 있는 울창한 숲이 바로 우리나라 천연기념물 제1호로 지정된?동구 도동 측백수림이다. 측백나무는 측백나무과에 딸린 상록교목으로 큰 것은 높이 20m에 이른다. 이곳의 측백수림은 측백나무의 남한지로써 식물지리학상의 중요성으로 인해 1934년 천연기념물로 지정되었다. 또한 이곳은 조선조 대구가 낳은 대학자인 서거정 선생이 찬미한 대구 10경중 한곳으로, 측백수림 아래에는 옛날 대구에서 영천·경주로 가는 길이 있어 절벽 아래를 흐르는 계곡수와 더불어 아름다운 경치를 이루어 행인들의 피로를 덜어 주었다고 한다.	",,대구광역시 동구 도동 산 180번지,053-983-2301,이용시간|제한없음,"[35.9181134, 128.6633394]"
,,,,,,,
53.0,대구문화예술회관,"	시민들이 일상에서 문화예술을 마음껏 즐기는 문화예술회관은 해마다 다양한 공연, 전시회를 열어 사람들이 즐겨 찾는 곳이다. 열정과 재능을 발휘하는 예술가들의 창작혼이 가득하며, 감동을 전하는 문화서비스를 실천하는 것을 지향하고 있다.	",http://artcenter.daegu.go.kr/,대구광역시 달서구 공원순환로 201,053-606-6114,이용시간|AM10:00 ~ PM08:00(하절기) AM10:00 ~ PM07:00(동절기),"[35.8446585, 128.5587409]"
54.0,대구미술관,"	대구미술관(2011.5.26 개관)은 대지면적 71,202㎡ 건축면적 8,808.27㎡, 연면적 21,701.44㎡ 규모로 지하1층, 지상3층의 공간에 1~5전시실, 어미홀, 강당, 교육시설, 정보센터, 관람객을 위한 편의시설로 구성되어 있다. 대구미술관의 상징적 측면을 고려해 만들어진 어미홀(가로 15m, 세로 55m, 높이 20m)은 연1회 아티스트의 창의적인 영감을 실현하는 인큐베이팅 공간으로 활용한다. 특히 3전시장은 실내와 자연풍경과 접점을 이루는 전시장으로 고정된 곳이 아닌 율동하고, 교감하는 장소로 활용하고 있다. 대구미술관은 국내외의 근·현대미술을 소개하는 전시는 물론, 미술 강좌 등 다양한 교육프로그램 운영과 시민의 문화예술욕구에 부응하는 문화공간으로서의 역할을 담당하고 있다. ○주요시설 - 지하1층 : 프로젝트롬 - 지상1층 : 1전시실, 다목적홀, 강당, 아트샵, 사무공간 - 지상2층 : 2~5전시실 - 지상3층 : 정보센터, 휴게공간 ○부대시설 : 미술관 주변...중략",https://artmuseum.daegu.go.kr,대구광역시 수성구 미술관로 40,053-790-3000,이용시간|오전 10시 ~ 오후 6시 (매주 월요일 휴관)  ※매표시간은 개관시간30분전부터 관람시간 종료 1시간 전,"[35.8276258, 128.6739499]"
,,,,,,,
56.0,대구방짜유기박물관,"	""방짜유기에 쉽고 재미나게 다가가는 방법
‣ 전국 유일의 방짜유기 박물관, 대구올레 팔공산 1코스에 있어 걷기 여행을 겸할 수 있다
‣ 유기문화실, 기증실, 재현실, 체험장 등을 통해 우리 고유 문화유산인 방짜유기와 제작 기술을 전승, 보존, 계승한다
‣ 우리나라 대표 방짜유기장인 이봉주 장인이 제작, 수집한 귀한 방짜유기를 감상할 수 있다 ""	",http://artcenter.daegu.go.kr/bangjja, 대구광역시 동구 도장길 29,053-606-6171~4,"이용시간|하절기(4~10월) 10:00~19:00,동절기(11~3월) 10:00~18:00 / 휴무 - 매주 월요일(월요일이 공휴일인 경우 다음 날), 1월 1일, 설날·추석","[35.9655337, 128.7009189]"
